state name,Company Type,No. of Complaints
Alabama,Inc,2
Alabama,Inc.,20
Alabama,LLC,10
Alabama,LLC.,1
Alabama,NA,100
Alabama,PLLC,1
Alabama,Weinberg & Reis,1
Alaska,Inc.,2
Alaska,NA,17
Arizona,a TSYS Company,1
Arizona,Inc,1
Arizona,Inc.,49
Arizona,L.L.C.,1
Arizona,LLC,11
Arizona,LLC.,1
Arizona,LP,2
Arizona,NA,247
Arkansas,Inc,2
Arkansas,Inc.,8
Arkansas,LLC,4
Arkansas,NA,47
Arkansas,P.A.,1
California,a TSYS Company,1
California,Attorney at Law,1
California,Cash Advance Centers,3
California,Inc,33
California,Inc.,256
California,Inc. (FNIS),2
California,Incorporated,2
California,L.L.C.,2
California,L.P.,1
California,Law Offices,1
California,LLC,73
California,LLC - Legal - Series 2,1
California,LLC (Closed),1
California,LLC.,4
California,LLP,6
California,Ltd.,3
California,NA,1584
California,P.C.,1
California,S.Ã  r.l.,1
California,Tirey & St. John LLP,1
Colorado,Inc,5
Colorado,Inc.,38
Colorado,LLC,13
Colorado,LLC.,1
Colorado,LLP,1
Colorado,NA,193
Connecticut,Inc,2
Connecticut,Inc.,17
Connecticut,Inc. (FNIS),1
Connecticut,LLC,4
Connecticut,LLC.,1
Connecticut,NA,136
Delaware,Inc,1
Delaware,Inc.,15
Delaware,LLC,3
Delaware,NA,60
Delaware,P.C.,1
District Of Columbia,Burgess & Wolff,1
District Of Columbia,Inc,1
District Of Columbia,Inc.,17
District Of Columbia,LLC,3
District Of Columbia,Miller,1
District Of Columbia,NA,75
Florida,Beal & Nixon,1
Florida,Burgess & Wolff,1
Florida,Cash Advance Centers,2
Florida,Inc,21
Florida,Inc.,204
Florida,Inc. (FNIS),3
Florida,Incorporated,1
Florida,L.L.C.,1
Florida,L.P.,2
Florida,LLC,47
Florida,LLC.,5
Florida,LP,1
Florida,Morris & Montgomery Inc.,1
Florida,NA,957
Florida,P.A.,6
Florida,P.C. (closed),1
Florida,Palma & Andreu,1
Georgia,Inc,8
Georgia,Inc.,104
Georgia,Inc. (FNIS),2
Georgia,L.P.,1
Georgia,LLC,30
Georgia,LLC.,4
Georgia,NA,419
Georgia,P.C. (closed),8
Georgia,PLLC,1
Hawaii,Inc.,7
Hawaii,LLC,5
Hawaii,NA,27
Idaho,Inc.,3
Idaho,LLC,3
Idaho,LP,1
Idaho,NA,44
Illinois,Hasenmiller,2
Illinois,Inc,7
Illinois,Inc.,54
Illinois,L.L.C.,1
Illinois,LLC,17
Illinois,LLC.,2
Illinois,Ltd.,3
Illinois,NA,410
Illinois,P.C.,4
Indiana,a TSYS Company,2
Indiana,Cash Advance Centers,2
Indiana,Hasenmiller,2
Indiana,Inc,1
Indiana,Inc.,22
Indiana,LLC,13
Indiana,LLC.,3
Indiana,Ltd.,1
Indiana,NA,91
Iowa,Cash Advance Centers,1
Iowa,Inc,1
Iowa,Inc.,10
Iowa,LLC,2
Iowa,NA,42
Kansas,Attorney at Law,1
Kansas,Cash Advance Centers,1
Kansas,Inc,2
Kansas,Inc.,16
Kansas,Inc. (FNIS),1
Kansas,LLC,3
Kansas,NA,54
Kentucky,Inc,1
Kentucky,Inc.,16
Kentucky,L.P.,1
Kentucky,LLC,4
Kentucky,NA,75
Kentucky,P.S.C.,1
Kentucky,PLC,1
Louisiana,Hanley & Associates,1
Louisiana,Inc,2
Louisiana,Inc.,23
Louisiana,Incorporated,1
Louisiana,LLC,4
Louisiana,LP,3
Louisiana,NA,114
Louisiana,P.C.,1
