Complaint ID,Product,Issue,State,Date received,Submitted via,Resolution Time Reponse
1001,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2015-10-20 00:00:00,Web,Instant
1002,Mortgage,"Complaint: Loan servicing, payments, escrow account",NC,2014-03-01 00:00:00,Web,Instant
1003,Debt collection,"Complaint: Loan modification,collection,foreclosure",MO,2014-04-12 00:00:00,Web,Instant
1004,Credit card,Complaint: Billing statement,WA,2015-03-26 00:00:00,Web,Instant
1005,Credit reporting,Complaint: Unable to get credit report/credit score,VA,2015-10-27 00:00:00,Web,Instant
1006,Debt collection,Complaint: False statements or representation,IL,2015-05-23 00:00:00,Web,Instant
1007,Mortgage,"Complaint: Application, originator, mortgage broker",FL,2016-05-30 00:00:00,Web,Fast
1008,Student loan,Complaint: Dealing with my lender or servicer,OK,2015-10-06 00:00:00,Web,Instant
1009,Credit card,Complaint: Credit reporting,CA,2013-08-02 00:00:00,Web,Instant
1010,Credit reporting,Complaint: Credit reporting company's investigation,CA,2016-08-01 00:00:00,Web,Instant
1011,Bank account or service,Complaint: Deposits and withdrawals,AZ,2016-01-15 00:00:00,Ema,Fast
1012,Credit card,Complaint: Rewards,MO,2014-12-12 00:00:00,Web,Instant
1013,Debt collection,"Complaint: Loan modification,collection,foreclosure",NY,2013-01-11 00:00:00,Ema,Instant
1014,Payday loan,Complaint: Charged fees or interest I didn't expect,MD,2015-09-23 00:00:00,Web,Fast
1015,Mortgage,"Complaint: Loan servicing, payments, escrow account",FL,2015-10-29 00:00:00,Web,Instant
1016,Bank account or service,"Complaint: Account opening, closing, or management",MO,2016-06-30 00:00:00,Web,Instant
1017,Debt collection,Complaint: Taking/threatening an illegal action,NY,2016-09-10 00:00:00,Web,Instant
1018,Bank account or service,"Complaint: Account opening, closing, or management",AK,2013-07-24 00:00:00,Web,Fast
1019,Credit reporting,Complaint: Credit reporting company's investigation,NC,2016-11-08 00:00:00,Web,Instant
1020,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2013-04-15 00:00:00,Web,Fast
1021,Mortgage,"Complaint: Loan servicing, payments, escrow account",NJ,2015-01-22 00:00:00,Ema,Fast
1022,Mortgage,"Complaint: Loan servicing, payments, escrow account",TX,2016-05-02 00:00:00,Pos,Instant
1023,Bank account or service,"Complaint: Making/receiving payments, sending money",CA,2016-08-25 00:00:00,Web,Instant
1024,Bank account or service,Complaint: Problems caused by my funds being low,GA,2014-06-01 00:00:00,Web,Instant
1025,Debt collection,"Complaint: Loan modification,collection,foreclosure",CA,2016-06-23 00:00:00,Ema,Fast
1026,Bank account or service,Complaint: Deposits and withdrawals,MA,2016-07-27 00:00:00,Pho,Instant
1027,Bank account or service,"Complaint: Account opening, closing, or management",CT,2013-04-01 00:00:00,Ema,Fast
1028,Credit card,Complaint: Delinquent account,TX,2014-10-15 00:00:00,Web,Instant
1029,Credit reporting,Complaint: Credit reporting company's investigation,TX,2013-11-03 00:00:00,Web,Instant
1030,Bank account or service,"Complaint: Account opening, closing, or management",NV,2015-07-16 00:00:00,Ema,Fast
1031,Credit card,Complaint: Identity theft / Fraud / Embezzlement,NY,2015-11-16 00:00:00,Web,Instant
1032,Bank account or service,"Complaint: Account opening, closing, or management",FL,2016-02-03 00:00:00,Ema,Fast
1033,Bank account or service,Complaint: Deposits and withdrawals,WA,2014-03-18 00:00:00,Ema,Fast
1034,Consumer Loan,Complaint: Shopping for a line of credit,NV,2016-08-17 00:00:00,Ema,Fast
1035,Consumer Loan,Complaint: Problems when you are unable to pay,PA,2016-04-21 00:00:00,Web,Fast
1036,Mortgage,"Complaint: Loan servicing, payments, escrow account",MN,2016-03-22 00:00:00,Ema,Fast
1037,Bank account or service,Complaint: Problems caused by my funds being low,FL,2013-10-17 00:00:00,Pho,Fast
1038,Bank account or service,Complaint: Deposits and withdrawals,CA,2014-03-21 00:00:00,Web,Instant
1039,Student loan,Complaint: Dealing with my lender or servicer,IL,2014-12-02 00:00:00,Web,Instant
1040,Bank account or service,"Complaint: Account opening, closing, or management",PA,2015-10-30 00:00:00,Pho,Instant
1041,Credit card,Complaint: Customer service / Customer relations,CA,2015-12-15 00:00:00,Pho,Fast
1042,Consumer Loan,Complaint: Managing the loan or lease,OH,2016-02-22 00:00:00,Pho,Fast
1043,Debt collection,Complaint: Communication tactics,IN,2015-07-23 00:00:00,Pho,Fast
1044,Mortgage,"Complaint: Loan servicing, payments, escrow account",AR,2014-10-30 00:00:00,Web,Instant
1045,Debt collection,Complaint: Communication tactics,CA,2016-06-22 00:00:00,Pho,Fast
1046,Mortgage,"Complaint: Application, originator, mortgage broker",MA,2014-08-01 00:00:00,Ema,Instant
1047,Bank account or service,Complaint: Problems caused by my funds being low,GA,2013-09-15 00:00:00,Web,Fast
1048,Mortgage,"Complaint: Loan servicing, payments, escrow account",MN,2015-04-15 00:00:00,Web,Instant
1049,Credit card,Complaint: Credit determination,TX,2016-08-17 00:00:00,Web,Instant
1050,Mortgage,"Complaint: Loan servicing, payments, escrow account",AR,2015-01-28 00:00:00,Web,Fast
1051,Mortgage,"Complaint: Loan servicing, payments, escrow account",ME,2013-03-28 00:00:00,Ema,Fast
1052,Payday loan,Complaint: Charged fees or interest I didn't expect,TX,2014-05-21 00:00:00,Pho,Fast
1053,Debt collection,Complaint: Taking/threatening an illegal action,VA,2014-04-23 00:00:00,Web,Instant
1054,Bank account or service,"Complaint: Making/receiving payments, sending money",CA,2013-01-23 00:00:00,Ema,Instant
1055,Credit card,Complaint: Billing disputes,SC,2013-04-22 00:00:00,Web,Fast
1056,Credit reporting,Complaint: Credit reporting company's investigation,MA,2015-12-23 00:00:00,Web,Fast
1057,Bank account or service,Complaint: Deposits and withdrawals,NC,2015-11-20 00:00:00,Pho,Fast
1058,Debt collection,"Complaint: Loan modification,collection,foreclosure",NC,2015-10-12 00:00:00,Ema,Fast
1059,Credit reporting,Complaint: Credit reporting company's investigation,MI,2013-09-24 00:00:00,Web,Fast
1060,Credit reporting,Complaint: Credit monitoring or identity protection,OR,2014-10-06 00:00:00,Web,Instant
1061,Student loan,Complaint: Can't repay my loan,TX,2015-03-07 00:00:00,Web,Instant
1062,Credit card,Complaint: Credit determination,FL,2016-03-25 00:00:00,Web,Instant
1063,Mortgage,"Complaint: Application, originator, mortgage broker",CT,2016-01-30 00:00:00,Web,Instant
1064,Student loan,Complaint: Can't repay my loan,PA,2014-04-14 00:00:00,Web,Instant
1065,Bank account or service,Complaint: Problems caused by my funds being low,NC,2013-02-27 00:00:00,Web,Fast
1066,Credit reporting,Complaint: Credit reporting company's investigation,CA,2015-10-29 00:00:00,Web,Instant
1067,Mortgage,"Complaint: Loan servicing, payments, escrow account",NV,2015-07-05 00:00:00,Web,Fast
1068,Debt collection,Complaint: False statements or representation,TX,2014-07-05 00:00:00,Web,Instant
1069,Mortgage,"Complaint: Loan servicing, payments, escrow account",CA,2016-04-20 00:00:00,Ema,Fast
1070,Student loan,Complaint: Can't repay my loan,IN,2015-06-10 00:00:00,Web,Instant
1071,Mortgage,"Complaint: Loan servicing, payments, escrow account",AZ,2016-12-08 00:00:00,Web,Instant
1072,Credit card,Complaint: Billing disputes,FL,2016-07-06 00:00:00,Ema,Fast
1073,Debt collection,Complaint: Improper contact or sharing of info,WA,2016-04-27 00:00:00,Web,Instant
1074,Student loan,Complaint: Can't repay my loan,NC,2015-08-20 00:00:00,Web,Instant
1075,Mortgage,"Complaint: Loan servicing, payments, escrow account",VA,2014-01-31 00:00:00,Web,Instant
1076,Credit card,Complaint: Collection practices,CO,2013-01-04 00:00:00,Pho,Fast
1077,Credit reporting,Complaint: Credit reporting company's investigation,TX,2013-06-11 00:00:00,Web,Instant
